city,locality,apartment_name,bhk,area_sqft,price_per_sqft_inr,price_in_inr,price_in_lakhs,year_built,floor_no,total_floors,furnishing,near_metro,generated_at
Mohali,Phase 6,Green Enclave,3,1543,4659,7188837,71.89,2002,1,11,Unfurnished,Yes,2026-01-19
Pune,Hinjewadi,Crystal Square,2,979,7760,7597040,75.97,1995,3,11,Semi-Furnished,Yes,2026-01-19
Bengaluru,Jayanagar,Amber Terrace,2,1117,12789,14285313,142.85,1991,3,3,Furnished,Yes,2026-01-19
Jaipur,Vaishali Nagar,Green Apartments,1,776,4493,3486568,34.87,2007,4,30,Furnished,Yes,2026-01-19
Mumbai,Juhu,Orchid Residency,2,960,24249,23279040,232.79,2021,2,2,Furnished,No,2026-01-19
Mumbai,Bandra,Pride Villas,3,1193,21833,26046769,260.47,2016,3,23,Furnished,Yes,2026-01-19
Chandigarh,Sector 21,Sky Residency,4,1885,8272,15592720,155.93,2015,1,8,Semi-Furnished,Yes,2026-01-19
Jaipur,Bani Park,Lotus Heights,2,817,5417,4425689,44.26,2018,2,7,Unfurnished,No,2026-01-19
Thane,Kolshet,Pride Bay,3,1309,13047,17078523,170.79,2018,2,8,Furnished,No,2026-01-19
Lucknow,Alambagh,Urban Square,2,1017,3714,3777138,37.77,2020,5,29,Unfurnished,No,2026-01-19
Delhi,Saket,Hill Enclave,2,865,15638,13526870,135.27,2007,6,25,Semi-Furnished,Yes,2026-01-19
Bengaluru,Electronic City,Silver Villas,2,1111,10336,11483296,114.83,2001,2,15,Furnished,Yes,2026-01-19
Noida,Noida Extension,Palace Court,3,1295,7052,9132340,91.32,2004,7,9,Furnished,No,2026-01-19
Mumbai,Bandra,Green Apartments,1,543,31238,16962234,169.62,1993,3,20,Unfurnished,Yes,2026-01-19
Lucknow,Alambagh,Cedar Garden,2,817,2861,2337437,23.37,2011,12,33,Unfurnished,Yes,2026-01-19
Delhi,Rohini,Iris Square,3,1474,13897,20484178,204.84,1999,1,20,Semi-Furnished,No,2026-01-19
Bengaluru,Indiranagar,Galaxy Grove,1,716,9362,6703192,67.03,2018,9,33,Unfurnished,Yes,2026-01-19
Nagpur,Bajaj Nagar,Crystal Heights,3,1524,2397,3653028,36.53,2013,12,17,Semi-Furnished,No,2026-01-19
Coimbatore,Gandhipuram,Urban Villas,1,569,3173,1805437,18.05,2010,1,5,Semi-Furnished,Yes,2026-01-19
Chennai,Adyar,Crown Square,3,1503,7193,10811079,108.11,1992,1,6,Furnished,Yes,2026-01-19
Pune,Koregaon Park,Galaxy Garden,2,967,6555,6338685,63.39,2008,1,16,Unfurnished,Yes,2026-01-19
Mumbai,Andheri,Oak Residency,2,897,31910,28623270,286.23,2020,9,27,Unfurnished,No,2026-01-19
Chennai,Adyar,Palace Garden,3,1468,9087,13339716,133.4,2003,1,24,Unfurnished,No,2026-01-19
Noida,Sector 62,Crystal Apartments,2,1021,10248,10463208,104.63,1991,3,23,Furnished,Yes,2026-01-19
Bengaluru,Koramangala,Palace Bay,1,658,11642,7660436,76.6,2000,4,12,Unfurnished,No,2026-01-19
Noida,Sector 76,Pearl Plaza,2,889,9239,8213471,82.13,2020,3,12,Furnished,Yes,2026-01-19
Mumbai,Powai,Silver Enclave,2,915,26948,24657420,246.57,1986,8,30,Furnished,Yes,2026-01-19
Jaipur,Bani Park,Crown Heights,2,1001,4012,4016012,40.16,1999,3,10,Unfurnished,Yes,2026-01-19
Gurgaon,Sector 49,Silver Enclave,3,1270,10182,12931140,129.31,2002,9,28,Semi-Furnished,Yes,2026-01-19
Noida,Noida Extension,Crown Residency,2,955,8443,8063065,80.63,2006,4,19,Furnished,Yes,2026-01-19
Pune,Wagholi,Iris Garden,3,907,7787,7062809,70.63,2020,2,2,Furnished,Yes,2026-01-19
Bengaluru,Jayanagar,Orchid Bloom,2,776,11050,8574800,85.75,2005,2,20,Furnished,No,2026-01-19
Ahmedabad,Bodakdev,Palace Terrace,2,1004,5846,5869384,58.69,2018,1,4,Furnished,Yes,2026-01-19
Mumbai,Andheri,Hill Grove,2,834,30321,25287714,252.88,2017,2,7,Unfurnished,Yes,2026-01-19
Bengaluru,Hebbal,Oak Plaza,2,1128,9293,10482504,104.83,2007,2,19,Semi-Furnished,Yes,2026-01-19
Bengaluru,Jayanagar,Regal Arcade,3,1401,10880,15242880,152.43,2008,9,12,Furnished,No,2026-01-19
